Date,StainlessSteelPrice,Steel_Inventory_M_USD,Steel_Orders_M_USD,IronOre_Global_USD,CoalAustralia_Global_USD,Energy_Index,Nickel_Global_USD,Zinc_Global_USD,Freight_Transport_Index,WTI_Crude_Global_USD,Baltic_Dry_Index,BCI_China,BCI_Europe,BCI_US,CLI_China,CLI_Europe,CLI_US,PMI_US_Manufacturing,Copper_Global_USD 
7/1/2013,0.827352483,20575,10568,127.1913043,82.22236025,227.0229424,13750.31522,1837.619565,-0.4,104.5452174,1062,98.80018,99.64265,100.1044,101.1423,99.43615,100.623,50.9,6906.64
8/1/2013,0.760220812,20609,10821,137.055,82.22142857,232.2341944,14308.2619,1896.392857,0.5,106.5463636,1132,99.04874,99.91766,100.3962,101.1938,99.64082,100.6545,55.4,7186.25
9/1/2013,0.7847148,20761,10774,134.1857143,83.29591837,234.3355938,13801.39286,1846.880952,0.1,106.3138095,2003,99.27196,100.1849,100.5363,101.2066,99.84383,100.6646,55.7,7159.27
10/1/2013,0.76929266,20735,11291,132.5727273,85.44363354,229.3939316,14117.65217,1884.836957,-0.1,100.5004348,1504,99.40488,100.3633,100.5771,101.1835,100.023,100.6666,56.2,7203.02
11/1/2013,0.75024178,20854,11559,136.3238095,88.36326531,225.4370486,13684.0119,1866.416667,2.1,93.81238095,1821,99.36221,100.4983,100.5459,101.1283,100.1715,100.6744,56.4,7070.65
12/1/2013,0.773828583,21158,10232,135.7904762,89.44446429,233.4819289,13924.55,1974.975,-0.9,97.90227273,2277,99.13918,100.5338,100.4033,101.0334,100.2898,100.6767,57.3,7214.9
1/1/2014,0.749788188,21457,11194,128.1190476,87.97353896,229.9973488,14101.25,2036.931818,-1.4,94.99652174,1110,98.85413,100.5149,100.2142,100.8995,100.3843,100.6777,57,7291.47
2/1/2014,0.778364507,21463,11263,121.37,83.02767857,237.2087891,14203.55,2034.525,1.6,100.704,1258,98.65996,100.5313,100.2672,100.7497,100.4526,100.7068,51.3,7149.21
3/1/2014,0.789250724,21614,11462,111.8333333,79.75306122,229.7284085,15678.09524,2007.904762,1.6,100.5733333,1362,98.63962,100.6184,100.3807,100.6015,100.4968,100.7627,53.2,6650.04
4/1/2014,0.827806075,21571,11246,114.5809524,78.52071429,230.8290043,17373.6,2027.2125,0.4,102.1786364,943,98.76656,100.7212,100.4779,100.4589,100.5103,100.8278,53.7,6673.56
5/1/2014,0.915802995,21758,11169,100.56,78.83464286,231.316955,19401.075,2058.975,0.3,102.0031818,934,99.00299,100.7617,100.5421,100.3296,100.4894,100.8836,54.9,6891.13
6/1/2014,1.059591776,21967,11753,92.85238095,77.34846939,235.1922828,18628.80952,2128.095238,-0.9,105.2419048,850,99.25082,100.7208,100.5894,100.2165,100.441,100.9256,55.4,6821.14
7/1/2014,1.070477993,21932,11545,96.26086957,74.03804348,226.5391255,19117.65217,2310.619565,0.5,102.986087,755,99.42686,100.641,100.6976,100.1204,100.378,100.9516,55.3,7113.38
8/1/2014,1.071385178,22296,11105,94.14285714,74.24839286,218.0609028,18600.2,2326.9875,0.4,96.38142857,1147,99.37086,100.576,100.8425,100.0339,100.3163,100.9665,57.1,7001.84
9/1/2014,1.055055853,22428,11825,84.52272727,71.52564935,210.9071986,18034.79545,2294.590909,0.8,93.34909091,1063,99.21478,100.5598,100.8595,99.94608,100.2761,100.968,59,6872.22
10/1/2014,1.062313331,22644,11268,81.30434783,68.98462733,193.0179961,15812.36957,2276.826087,0.6,84.4,1428,98.97135,100.6142,100.8793,99.86956,100.2614,100.9486,56.6,6737.48
11/1/2014,0.938029021,22646,10682,74.425,67.33071429,178.4571998,15807.05,2253.225,0.6,75.7015,1153,98.69015,100.6173,100.7766,99.81639,100.2688,100.9106,59,6712.85
12/1/2014,0.879062013,22830,10464,68.67391304,67.1622449,148.5535427,15962.04762,2175.761905,-0.1,59.09956522,782,98.46731,100.5699,100.4992,99.78475,100.2956,100.848,58.7,6446.45
1/1/2015,0.929864358,23464,9900,69.06818182,64.71632653,122.682185,14849.19048,2113.047619,-0.2,47.60363636,608,98.3372,100.5317,100.2163,99.7889,100.3361,100.7607,55.5,5830.54
2/1/2015,0.866361427,23127,9522,63.8,70.65910714,134.8114926,14573.8375,2097.7625,-0.7,50.7175,540,98.33943,100.5128,99.99267,99.83994,100.3735,100.6534,53.5,5729.28
3/1/2015,0.847310547,22062,8927,58.18181818,68.34496753,129.404919,13755.5,2028.727273,0.7,47.78363636,602,98.41519,100.5166,99.83935,99.95956,100.4022,100.5379,52.9,5939.67
4/1/2015,0.812837527,21508,9083,52.11363636,61.19785714,131.3790856,12830.925,2212.725,-1.1,54.20363636,591,98.48301,100.565,99.79772,100.0845,100.4148,100.4193,51.5,6042.09
5/1/2015,0.767024698,21158,9152,60.42857143,65.6712406,138.4546093,13511.34211,2281.802632,0.2,59.26238095,589,98.51873,100.5769,99.86075,100.1441,100.4081,100.293,51.5,6294.78
6/1/2015,0.796508202,20967,8941,61.84090909,63.10470779,135.1238424,12825.22727,2082.090909,-0.3,59.80454545,800,98.48779,100.5188,99.85202,100.0991,100.3941,100.1558,52.8,5833.01
7/1/2015,0.767931882,20650,8546,52.17391304,64.48322981,123.6550553,11413.09783,2000.684783,0.8,51.16173913,1131,98.38729,100.463,99.71102,99.94952,100.3876,99.98451,53.5,5456.75
8/1/2015,0.718036722,20190,8710,57.33333333,63.39321429,109.4503107,10386,1807.6375,0.5,42.86333333,903,98.27705,100.4277,99.50191,99.75603,100.39,99.7893,52.7,5127.3
9/1/2015,0.659069714,19918,8333,56.97727273,61.76542208,110.0178683,9937.545455,1720.227273,0.2,45.48136364,900,98.22421,100.4257,99.27581,99.58411,100.4026,99.59931,51.1,5217.25
